nizam,ceded,vizag,east,west,krishna,guntur,nellore,WW,Devi Sri Prasad,S. Thaman,January,Jagapathi Babu,April,August,Prakash Raj,December,September,Mythri Movie Makers,Sri Venkateswara Creations,March,May,October,Mahesh Babu,Vennela Kishore,Goldmines Telefilms,Nandamuri Balakrishna,Kajal Aggarwal,Anup Rubens,Samantha Ruth Prabhu,Nani,Rajendra Prasad,Naga Chaitanya Akkineni,Pooja Hegde,Shruti Haasan,M.M. Keeravani,Murli Sharma,Gopi Sundar,Keerthy Suresh,Prabhas,February,July,November,Tamannaah Bhatia,Allu Arjun,Vijay Deverakonda,Tanikella Bharani,Sathyaraj,Sithara Entertainments,Chiranjeevi,Sai Dharam Tej,Anupama Parameswaran,Anil Ravipudi,Rashmika Mandanna,Rao Ramesh,N.T. Rama Rao Jr.,Mickey J. Meyer,Ram Charan,Nassar
11.9,3.05,3.1,1.44,1.27,1.38,1.63,0.65,28.45,0,0,False,0,False,False,0,False,False,0,0,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.49,4.3,3.04,1.68,1.3,1.35,1.72,0.95,21.73,1,0,False,1,False,True,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.75,2.0,2.7,1.55,1.05,1.58,0.152,0.7,28.25,0,0,False,0,True,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76.9,21.4,18.4,10.55,8.05,9.53,9.2,4.72,483.65,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.2,4.95,4.72,2.32,1.64,2.28,2.44,1.13,56.53,0,0,False,0,False,True,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.3,8.3,6.25,5.35,4.24,3.7,4.95,2.08,61.69,0,0,False,0,False,False,0,False,False,0,0,True,False,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19.8,15.3,13.1,8.17,6.05,5.75,7.4,3.45,104.86,1,0,True,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.45,4.2,2.88,2.09,2.12,1.61,1.91,1.22,25.29,0,0,True,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.15,1.55,1.45,0.93,0.65,0.92,1.0,0.49,14.49,0,0,False,0,True,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3.1,1.12,1.16,0.66,0.35,0.59,0.61,0.29,9.48,0,0,False,0,False,True,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.2,3.45,1.91,1.35,0.9,1.1,1.29,0.69,26.94,0,0,False,0,False,False,0,False,True,0,0,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.8,2.72,4.0,2.52,1.61,2.38,2.15,0.86,46.1,0,0,False,0,False,False,0,False,False,0,0,False,True,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6.0,2.56,2.81,1.7,1.1,1.63,1.88,0.59,22.97,0,1,False,0,False,False,0,False,True,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,10.2,11.2,7.3,6.05,5.8,7.7,2.75,101.12,1,0,False,1,False,False,1,False,False,0,1,False,True,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.6,4.45,4.8,1.85,1.4,1.83,2.15,0.96,36.25,0,0,False,0,True,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.65,1.57,1.6,1.13,0.88,0.82,0.9,0.4,15.19,0,0,False,0,False,False,0,False,True,0,0,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.22,5.25,2.1,2.45,1.81,2.11,1.26,1.08,39.84,1,0,False,0,False,False,0,True,False,0,1,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.11,7.51,4.2,2.9,2.65,2.75,3.71,1.67,47.7,1,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.05,2.75,1.59,0.78,0.63,0.8,1.04,0.58,16.23,0,0,False,0,False,False,0,False,False,0,0,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.19,1.08,1.01,0.56,0.43,0.66,0.92,0.26,10.21,0,1,True,0,False,False,0,False,False,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.55,6.95,5.3,3.65,2.81,2.65,4.05,1.61,51.44,0,0,False,0,False,False,0,False,False,0,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.75,7.95,5.0,3.21,2.76,2.35,2.67,2.04,47.38,0,1,True,0,False,False,0,False,False,0,0,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.6,1.75,2.25,1.33,1.0,1.2,1.24,0.57,22.23,0,0,False,0,False,False,0,False,True,1,0,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.48,6.75,3.89,3.12,2.47,2.38,3.3,1.55,53.59,1,0,True,1,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.58,3.09,3.0,1.9,1.0,1.5,1.54,0.58,25.04,0,0,False,0,False,True,0,False,False,0,0,False,False,False,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.55,2.75,3.25,1.8,1.15,1.55,1.5,0.65,28.56,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,False,True,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,1.85,1.8,1.22,1.4,1.4,2.97,0.91,20.61,0,0,True,0,False,False,0,False,False,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,1.65,1.87,0.8,0.7,1.04,0.85,0.4,18.15,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9,1.19,0.92,0.58,0.5,0.48,0.76,0.35,10.05,0,0,False,1,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.45,3.26,3.03,1.95,1.3,1.73,2.14,0.85,52.3,0,0,False,0,False,False,1,False,False,0,0,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
