name,date,year,director,prod,composer,cast_mem
Changure Bangaru Raja,September,2023,Satish Varma,"Frame By Frame Pictures, RT Teamworks",Krishna Saurabh,"Ajay, Sunil, Satya, Ester Noronha, Kushita Kallapu, Ravi Babu, Rajsekhar Aningi, Raj Tirandasu, Sridhar Varma, Inturi Vasu"
Peddha Kapu 1,September,2023,Srikanth Addala,Dwaraka Creations,Mickey J. Meyer,"Srikanth Addala, Anuradha, Baby, Basheer, Anasuya Bharadwaj, Tanikella Bharani, Bhaskar, Charan, M.S. Chowdary, Harsha"
Naa Nee Prema Katha,September,2023,"Amuda Srinivas, Sudharshan",,M.L.P. Raja,"Amuda Srinivas, Karunya Chowdary, Ramya Sri, Ajay Ghosh, Shafi, Annapurnamma, Fish Venkat, Jabardasth Phani, Jabardasth Nagireddy, Busstop Koteshwara Rao"
PremaDesapuYuvarani,September,2023,Sai Suneel Nimmala,"Age creations, s2h2 entertainments",Ajay Patnaik,"Mahaboob Basha, Gopi, Viraat Karthik, Hari Krishna, Sunitha Manohar, Pavan Muthyala, Naidu, Prathyusha, Yamin Raaz, Bheeman Raghu"
Sodara Sodarimanulara,September,2023,Raghupathi Reddy Gunda,"9Em Entertainments, iR Movies",Madeen Sk,"Kamal Kamaraju, Aparna Devi, Prabhakar, Prithviraj"
Gammathu,September,2023,Aswwani Sri Krisshna,,Vasanth G,"Swathi Deekshith, Lirisha, Shivanya Meharara, Parvateesam, Rocket Raghava"
Mattikatha,October,2023,Pavan Kadiyala,Mic Movies,Smaran,"Raju Aluri, Mallesh B, G Nanda Kishore, Seetha Mahalaxmi Mallesham, Maya, Dayanand Reddy, Balveer Singh, Bathula Teja, Bathurst Tena, Ajey Ved"
Rudramkota,September,2023,Ramu Kona,Ark Visualz,Subhash Anand,"Anil Arka, Alekhya Gadamboina, Vibhisha Jaanu, Ch Jayalalitha, Basskar Raw"
Ramanna Youth,September,2023,Abhay Bethiganti,,Kamran,"Bunny Abiran, Abhay Bethiganti, Srikanth Iyengar, Aneel Jela, Vidyasagar Karampuri, Manoj Muthyam, Vishnu Oi, Thagubothu Ramesh, Ms. Vishnu, J. Jagan Yogiraj"
Govindaa Bhaja Govindaa,September,2023,Surya Karthikeya,,R.J. Chakravarthi,"Vijay Krishna, Kamal Teja Narla, Priya Srinivas, Teja, Surya Teja"
Bhagavanth Kesari,October,2023,Anil Ravipudi,Shine Screens,S. Thaman,"Nandamuri Balakrishna, Arjun Rampal, Kajal Aggarwal, Sreeleela, R. Sarathkumar, Aadukalam Naren, Raghu Babu, P. Ravi Shankar, Jayachitra, Racha Ravi"
Tiger Nageswara Rao,October,2023,Vamsee,Abhishek Agarwal Arts,G.V. Prakash Kumar,"Ravi Teja, Anupam Kher, Gayatri Bhardwaj, Nupur Sanon, Renu Desai, Nassar, Murli Sharma, Jisshu Sengupta, Sudev Nair, Hareesh Peradi"
Case 30,October,2023,Sandeep Pydimarri,Pnr Film Factory,Sv Jerome,"Siddharth Naidu, Shamili Uniyal, Tanvi Gawade, Vamsi Raghava Yenumula"
Rules Ranjann,October,2023,Rathinam Krishna,Starlight Entertainment,Amrish,"Kiran Abbavaram, Neha Shetty, Meher Chahal, Vennela Kishore, Hyper Aadi, Ajay, Makrand Deshpande, Viva Harsha, Annu Kapoor, Gulshan Pandey"
The Great Indian Suicide,October,2023,Viplove Koneti,"KSV, Syringe Cinema",JD,"Saikumar Babloo, Deborah Doris Fell, V. Jayaprakash, Ram Karthik, Pavitra Lokesh, Lakshmi Narayana, V.K. Naresh, Hebah Patel, Rathna Shekhar Reddy, Teja Reddy"
Month of Madhu,October,2023,Srikanth Nagothi,"Creative Productions, Hand Picked Stories, Krishiv Productions",JD,"Naveen Chandra, Swathi Reddy, Shreya Navile, Harsha Chemudu, Chaitu Babu, Gnaneswari Kandregula, Manjula Ghattamaneni, Raja Chembolu, Raghav Rudra Mulpuru, Ruchitha Sadineni"
Mad,October,2023,Kalyan Shankar,"Fortune Four Cinemas, Haarika & Hassine Creations, Sithara Entertainments",Bheems Ceciroleo,"Anthony, Ravi Anthony, Raghu Babu, Muralidhar Goud, Anudeep K.V., Narne Nithiin, Ram Nithin, Ram Nitin, Vishnu Oi, Sri Gouri Priya"
Maama Mascheendra,October,2023,Harsha Vardhan,"Sree Venkateswara Cinemas, Srishti Celluloid",Chaitan Bharadwaj,"Sudheer Babu Posani, Eesha Rebba, Mirnalini Ravi, Harsha Vardhan, Ali Reza, Rajeev Kanakala, Hari Teja, Ajay, Mirchi Kiran, Abhinaya"
Martin Luther King,October,2023,Puja Kolluru,"Mahayana Motion Pictures, Y Not Studios",Smaran,"Sampoornesh Babu, V.K. Naresh, Venkatesh Maha, Saranya Pradeep, Sharanya"
Vote (Chala Viluvainadi),October,2023,Ravi,,,
Pambattam,October,2023,V.C. Vadivudaiyan,,Amrish,"Yaashika Aanand, Salil Ankola, Jeevan, Ramesh Khanna, Andrea Kurunathan, Livingston, Karate Raja, Rikin, Saipriya, Saravanan"
Prema Vimanam,October,2023,Santosh Kata,"Abhishek Pictures, Zee Studios",Anup Rubens,"Devansh Nama, Anirudh Nama, Sangeeth Shobhan, Saanve Megghana, Anasuya Bharadwaj, Vennela Kishore, Supreeth Reddy, Raj Tirandasu, Goparaju Ramana, Sai Prasad"
Yendira Ee Panchayithi,October,2023,Gangadhara T,,Rohith Peddapalli,"Bharath Bade, Gangadhar, Chittoor Kurradu, Latha, Thotapalli Madhu, Prem Sagar, Sameer, Ravi Varma, Vishika Laxman, Kasi Vishwanath"
Raakshasa Kaavyam,December,2023,Sriman Keerthi,"CineValley Movies, Garuda Productions, Pingo Pictures",Rajeev,"Abhay Bethiganti, Anvesh Michael, Dayanand Reddy, Vijay Ambaiah, Praveen Dacharam, Vinay kumar Parri, Kushalini Pulapa, Yadhamma Raju, Pawon Ramesh, Aretty Rohini"
Okkade 1(Venkanna on Duty),October,2023,Sripada Ramchandra Rao,Classic Cine Creations,Sai Charan,"Sudhiksha Jha, Madhumitha, Sunita Pandey, Tummalapalli Rama Satyanarayana, Junaid Shaik, Tallada Venkanna, Vikramkduggineni"
#Krishnarama,October,2023,Raj Madiraju,,,
Neethone Nenu,October,2023,Anji Ram,Sri Mamidi Entertainment,Karthik Kodakandla,"Gopal Krishna Akella, Kushita Kallapu, Mokksha, Harika Pedada, Satish Saripalli, Aakash Srinivas, Vikas Vasistha"
Maa Oori Cinema,October,2023,G Sivaram Teja,Sree Manjunath Cinemas,SK. Baji,"Pulivendula Mahesh, Gaganapeta Manjunath, Gnanapriya Paul, Navaneeth Reddy, Neha Reddy, Micheal Siddu, Mahesh Vitta"
Sagiletikatha,December,2023,Rajasekhar Sudmoon,"C Space, Shape Entertainment, Ashok Arts",Jaswanth Pasupuleti,"Rajsekhar Aningi, Vishika Kota, Ravi Teja Mahadasyam, Narasimha Prasad Panthagani"
Dhimahi,October,2023,"Naveen Kante, Saahas Pagadala",,Sharon Raavi,"Saahas Pagadala, Nikhita Chopra, Ashika Pagadala, Soujanya Kasina, Virat Kapur, Jd Cherukuru, Sreejith Gangadharan, Vamsi Davuluri, Bhumika Patel, Ritu Chhina"
